,CLOUDY_PIXEL_PERCENTAGE,CLOUD_COVERAGE_ASSESSMENT,MEAN_SOLAR_AZIMUTH_ANGLE,MEAN_SOLAR_ZENITH_ANGLE,Systemindex
0,2.5284,2.5284,157.299610739,54.9544066767,20190101T041149_20190101T041501_T46RGS
1,43.7284,43.7284,157.498342252,55.7996054577,20190101T041149_20190101T041501_T46RGT
2,69.7957,69.7957,157.689157882,56.6457915202,20190101T041149_20190101T041501_T46RGU
3,56.3633,56.3633,157.872259016,57.4924081484,20190101T041149_20190101T041501_T46RGV
4,2.6522,2.6522,158.075552356,53.796976062,20190101T041149_20190101T041501_T47RKL
5,19.678,19.678,158.231035608,54.6610717234,20190101T041149_20190101T041501_T47RKM
6,60.4293,60.4293,158.37692797,55.5253275277,20190101T041149_20190101T041501_T47RKN
7,76.677,76.677,158.51372611,56.3907185132,20190101T041149_20190101T041501_T47RKP
8,60.3241,60.3241,158.641584158,57.2566835484,20190101T041149_20190101T041501_T47RKQ
9,7.6287,7.6287,159.148927201,53.4870522768,20190101T041149_20190101T041501_T47RLL
10,42.7092,42.7092,159.303969084,54.3538998129,20190101T041149_20190101T041501_T47RLM
11,59.8656,59.8656,159.450077815,55.2207716972,20190101T041149_20190101T041501_T47RLN
12,65.9818,65.9818,159.587701296,56.0886670993,20190101T041149_20190101T041501_T47RLP
13,50.3444,50.3444,159.717017962,56.957021744,20190101T041149_20190101T041501_T47RLQ
14,27.88,27.88,160.385856892,54.0552628107,20190101T041149_20190101T041501_T47RMM
15,43.9745,43.9745,160.531853567,54.9244918617,20190101T041149_20190101T041501_T47RMN
16,64.3563,64.3563,160.669993129,55.7946365189,20190101T041149_20190101T041501_T47RMP
17,48.5271,48.5271,160.800488035,56.6651268206,20190101T041149_20190101T041501_T47RMQ
18,59.3687,59.3687,161.76130517,55.5085035806,20190101T041149_20190101T041501_T47RNP
19,60.0631,60.0631,158.760669525,58.1226581975,20190101T041149_20190101T041501_T47SKR
20,59.3403,59.3403,159.83819021,57.8252765673,20190101T041149_20190101T041501_T47SLR
21,75.8054,75.8054,159.951626415,58.6944240407,20190101T041149_20190101T041501_T47SLS
22,63.3655,63.3655,160.923490048,57.5354101148,20190101T041149_20190101T041501_T47SMR
23,91.534,91.534,161.039436652,58.4064802197,20190101T041149_20190101T041501_T47SMS
24,16.8589,16.8589,156.884949942,54.0877173998,20190102T043151_20190102T043514_T46RBR
25,78.1039,78.1039,157.050909717,54.9461286248,20190102T043151_20190102T043514_T46RBS
26,70.2191,70.2191,157.206919368,55.8047927698,20190102T043151_20190102T043514_T46RBT
27,98.0685,98.0685,157.35339296,56.6647076703,20190102T043151_20190102T043514_T46RBU
28,0.0,0.0,157.772015769,52.8997921601,20190102T043151_20190102T043514_T46RCQ
29,15.0003,15.0003,157.947679943,53.760367159,20190102T043151_20190102T043514_T46RCR
30,72.7483,72.7483,158.113723677,54.6216494587,20190102T043151_20190102T043514_T46RCS
31,79.3273,79.3273,158.270388252,55.4830638814,20190102T043151_20190102T043514_T46RCT
32,83.203,83.203,158.418140637,56.3456005155,20190102T043151_20190102T043514_T46RCU
33,94.138,94.138,158.557189814,57.2086844986,20190102T043151_20190102T043514_T46RCV
34,0.0,0.0,158.845306901,52.5782838699,20190102T043151_20190102T043514_T46RDQ
35,23.7874,23.7874,159.020058922,53.4416118692,20190102T043151_20190102T043514_T46RDR
36,65.79,65.79,159.185832434,54.3055107429,20190102T043151_20190102T043514_T46RDS
37,71.8445,71.8445,159.342812582,55.1694262819,20190102T043151_20190102T043514_T46RDT
38,73.3294,73.3294,159.491538348,56.034335641,20190102T043151_20190102T043514_T46RDU
39,0.0,0.0,159.92937347,52.2655144468,20190102T043151_20190102T043514_T46REQ
40,0.3371,0.3371,160.102849356,53.1313242984,20190102T043151_20190102T043514_T46RER
41,38.5022,38.5022,160.267989906,53.9975803546,20190102T043151_20190102T043514_T46RES
42,58.2374,58.2374,160.424938331,54.8637426969,20190102T043151_20190102T043514_T46RET
43,59.5476,59.5476,160.57431896,55.7307726563,20190102T043151_20190102T043514_T46REU
44,80.5507,80.5507,160.716225613,56.5981364862,20190102T043151_20190102T043514_T46REV
45,57.1368,57.1368,161.665245463,55.4353316132,20190102T043151_20190102T043514_T46RFU
46,72.3175,72.3175,161.808131274,56.3044507425,20190102T043151_20190102T043514_T46RFV
47,87.4317,87.4317,161.944530547,57.1732066255,20190102T043151_20190102T043514_T46SFA
48,87.9556,87.9556,162.074764081,58.0426342633,20190102T043151_20190102T043514_T46SFB
49,77.8707,77.8707,156.346770906,55.099937987,20190103T040141_20190103T040142_T47RLM
50,55.1804,55.1804,157.402357972,54.7580329047,20190103T040141_20190103T040142_T47RMM
51,62.5639,62.5639,157.574533962,55.6133553354,20190103T040141_20190103T040142_T47RMN
52,68.3919,68.3919,157.737829298,56.4698218749,20190103T040141_20190103T040142_T47RMP
53,47.0775,47.0775,157.892497137,57.3268472858,20190103T040141_20190103T040142_T47RMQ
54,57.7253,57.7253,158.641345184,55.2817486502,20190103T040141_20190103T040142_T47RNN
55,70.9105,70.9105,158.80597825,56.140520807,20190103T040141_20190103T040142_T47RNP
